Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date,Nationality,Dead Weight,LRN
BOUDICCA,BOU,CRUISE,20162,207,2502,7,28372,11649,NASSAU,01/06/1973 00:00,BAHAMAS,5291,7218395
BOYNE,BOYN,MISCELLANEOUS,563504,105.5,99,6.29,8082,,VALLETTA,01/06/2020 00:00,MALTA,,9369928
BRAEMAR,BRA,CRUISE,157352,195.82,22,5,24344,8103,UK,21/06/1993 00:00,UK,2978,9000699
BRAVEWIND,BRAVEWIND,FREIGHTER,563504,149,28,,8604,,MADEIRA,,PORTUGAL,10000,9886330
BRAZILIAN REEFER,BREEF,FREIGHTER,20195,144.6,23,10,12383,7978,NASSAU,14/10/1983 00:00,,14786,8300377
BREMAN,BRE,CRUISE,20162,111.51,17,4,6752,2073,NASSAU,,BAHAMAS,1226,8907424
BREMEN,BREMEN,FREIGHTER,507300,89.88,12.9,5.65,2.59,1.39,LIMASSOL,01/01/2012 00:00,CYPRUS,3.81,9617301
BRETAGNE,BR,FERRY,20212,151.2,29,6,24534,13242,MORLAIX,26/01/1993 00:00,FRENCH,0,8707329
BRILLIANCE OF THE SEAS,BRILLANCE OF THE SEAS,CRUISE,20162,292,,,90090,,,,,,
BRILLIANT LADY,BRILLIANT LADY,CRUISE,20162,278,,,110000,,,,,,
BRITANNIA BEAVER,BRITBEAVR,FREIGHTER,407737,99.95,17.71,6.24,3610,1038,LONDON,01/01/1991 00:00,UNITED KINGDOM,5786,9001667
BSL CAPE TOWN,BSL,FREIGHTER,28813,210.03,30.23,11.5,26,12,MONROVIA,28/03/2019 00:00,LIBERIA,34,9275048
BUCENTAUR ,BUC,MISCELLANEOUS,202362,77.35,16,5,2,830,NASSAU,25/10/1982 00:00,,2,8112548
BUSTLER,BUS,TUG,41412,39.99,99,99,99,99,,,,99,7902336
BUXTEHUDE,BUX,FREIGHTER,644009,134.4,22.5,8.71,9962,6006,ST JOHNS,01/07/2006 00:00,,11431,9354339
BYSTANDER,BYS,MISCELLANEOUS,CASH,42.18,9,2,561,168,GEORGE TOWN,01/01/2001 00:00,UK,99,1008736
CADENA 4,CAD4,FREIGHTER,20195,155,22.7,7.1,12433,3730,OSLO,,NORWAY,9235,9132002
CALEDONIAN SKY,CSKY,CRUISE,20162,90.6,15,3,4200,1263,BAHAMAS,24/03/1990 00:00,,645,8802870
CAP BEATRICE,CAP,FREIGHTER,28813,210.07,30,11,12743,26833,LIBERIA,,MONROVIA,34317,9275062
CAP FINISTERE,CF,FERRY,20212,203.9,25,6,30285,10703,MORILAX,16/02/2010 00:00,FRENCH,5990,9198927
CAP ROCA,ROC,FREIGHTER,28813,225.09,31,12.2,32984,13452,LIBERIA,07/06/2012 00:00,,34700,9399789
CAPALL MARA,CAPALMARA,DREDGER,202362,39.6,14,2.5,496,,,,,992,
CARIBBEAN STAR,CARIBSTAR,FREIGHTER,28813,184.8,24,9,15058,7480,MONROVIA,,LIBERIA,14726,9150810
CAROLINA,CAROLINA,FREIGHTER,507300,82.5,12.58,5.34,2.409,993,SPIJK,,NETHERLANDS,3.7,9382748
CAUSEWAY,CAU,DREDGER,20193,92.1,19,6,4320,1296,,,,5950,9653197
CELINA,CELINA,FREIGHTER,507300,104.4,16.38,6.76,4.073,2.16,SAINT JOHNS,01/01/2001 00:00,ANTIGUA AND BARBUDA ,6.18,9019200
CELTIC,CELT,FREIGHTER,563504,108.25,14,5.52,3636,1090,URK,01/01/2021 00:00,NETHERLANDS,4514,9917672
CELTIC FORTUNE,CELFOR,FREIGHTER,507300,88.99,14,6.18,2999,1639,CARDIFF,01/12/2020 00:00,UK,5.63,9353711
CHANGUINOLA BAY,CHAN,FREIGHTER,28813,141,20,8,8487,3897,NASSAU,09/09/1988 00:00,,9727,8801814
CHANNEL CHIEFTAIN VI,CHA,MISCELLANEOUS,507300,19,7.3,2,40,,WEYMOUTH,,UK,,
